unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
273;RFE;MEB;7;30;5;0,3;0,5;
428;RFE;JPK-87;6;48;5;0,9;0,4;
350;RFE;OMA;6;39;5;0,4;0,6;
659;RFE;MGK;3;75;5;0,2;0,8;
347;RFE;OMA;3;39;6;0,1;;*
510;RFE;JPK-132;10;57;5;0,6;1,1;
195;RFE;MEV;7;21;6;0,6;0,8;
509;RFE;JPK-132;9;57;6;0,3;1,6;
504;RFE;JPK-132;4;57;2;0,4;1,3;
582;RFE;RER;4;66;6;0,2;1;
22;RFE;STR;2;3;6;0,5;0,5;
424;RFE;JPK-87;2;48;6;0,4;0,3;
661;RFE;MGK;5;75;6;0,2;0,3;
26;RFE;STR;6;3;5;0,3;0,6;
119;RFE;RHE;9;12;6;0,5;0,5;
272;RFE;MEB;6;30;6;0,3;1,6;
584;RFE;RER;6;66;5;;;*
502;RFE;JPK-132;2;57;6;0,6;0,8;
425;RFE;JPK-87;3;48;7;0,5;;*
348;RFE;OMA;4;39;6;0,4;0,7;
192;RFE;MEV;4;21;7;0,2;0,9;
580;RFE;RER;2;66;8;0,2;;*
503;RFE;JPK-132;3;57;7;0,8;2,3;
114;RFE;RHE;4;12;4;;;*
117;RFE;RHE;7;12;7;0,3;0,6;
583;RFE;RER;5;66;7;0,5;1,2;
352;RFE;OMA;8;39;7;0,6;0,7;
663;RFE;MGK;7;75;7;0,5;0,5;
118;RFE;RHE;8;12;7;0,2;0,6;
190;RFE;MEV;2;21;8;0,3;1,7;
588;RFE;RER;10;66;8;1;1,4;
267;RFE;MEB;1;30;8;0,2;0,8;
508;RFE;JPK-132;8;57;8;0,3;0,7;
116;RFE;RHE;6;12;5;;;*
345;RFE;OMA;1;39;8;0,4;0,5;
113;RFE;RHE;3;12;8;0,1;0,6;
423;RFE;JPK-87;1;48;8;0,4;0,8;
29;RFE;STR;9;3;7;0,4;;*
426;RFE;JPK-87;4;48;8;0,3;0,6;
21;RFE;STR;1;3;8;;;*
194;RFE;MEV;6;21;8;0,4;0,9;
112;RFE;RHE;2;12;8;0,2;1;
581;RFE;RER;3;66;8;0,5;0,5;
664;RFE;MGK;8;75;8;0,3;0,6;
346;RFE;OMA;2;39;8;0,2;0,6;
276;RFE;MEB;10;30;8;0,1;2,1;
30;RFE;STR;10;3;8;;;*
660;RFE;MGK;4;75;8;0,2;0,6;
483;VAN;JPK-132;3;55;3;;;*
95;VAN;RHE;5;10;1;0,5;1,1;
